,Movie,Song,Lyrics,sentiment,compound,neg,pos,neu,group
0,101 Dalmatians,Cruella De Vil,cruella de vil cruella de vil if she doesn't scare you no evil thing will to see her is to take a sudden chill cruella cruella she like a spider waiting for the kill look out for cruella de vil at first you think cruella is a devil but after time has worn away the shock you come to realize you've seen her kind of eyes watching you from underneath a rock this vampire bat this inhuman beast she ought to be locked up and never released the world was such a wholesome place until cruella cruella de vil,"{'neg': 0.137, 'neu': 0.815, 'pos': 0.047, 'compound': -0.8871}",-0.8871,0.137,0.047,0.815,2
1,101 Dalmatians,Dalmatian Plantation,we'll have a dalmatian plantation where our population can roam in this new location our whole aggregation will love our plantation home dalmatian plantation home,"{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.6369}",0.6369,0.0,0.154,0.846,1
2,101 Dalmatians,Kanine Krunchies,kanine krunchies can't be beat they make each meal a special treat happy dogs are those who eat nutritious kanine krunchies kanine krunchies all contain selected meat and wholesome grain toy chihuahua or great dane all love kanine krunchies so do what all the smart dogs do and you'll feel great the whole day through you can be a champion too if you eat kanine krunchies,"{'neg': 0.0, 'neu': 0.666, 'pos': 0.334, 'compound': 0.9819}",0.9819,0.0,0.334,0.666,1
3,101 Dalmatians 2: Patch's London Adventure,I See Spots,spots i'm seeing spots everywhere i'm seeing lots of those tiny little dots yes it true they're on the beds and the cots in the pans and the pots and they've left little spots in the loo we'll have a dalmatian plantation i see spots on the walls in the rooms in the halls on the floors in the drawers yes i do and every morning when i rise and i open up my eyes i am taken by surprise 'cause instead of seeing skies i see lots of little spots we'll have a dalmatian plantation spots spots spots and never again shall we roam everywhere on the beds and the cots can't wait to begin our sweet living that in on the walls the rooms and the halls our dalmatian plantation home dalmatian plantation we're home,"{'neg': 0.0, 'neu': 0.907, 'pos': 0.093, 'compound': 0.8944}",0.8944,0.0,0.093,0.907,1
4,101 Dalmatians 2: Patch's London Adventure,Thunderbolt Adventure Hour,thunderbolt hounding hoodlums with a howl bad no-goodniks hear his growl thunderbolt desperados cringe in fear mighty thunderbolt is here righting wrongs and doing right barking boldly in the night the one-of-a-kind wonderdog,"{'neg': 0.175, 'neu': 0.759, 'pos': 0.065, 'compound': -0.6369}",-0.6369,0.175,0.065,0.759,2
5,101 Dalmatians 2: Patch's London Adventure,Try Again,there may be days when things don't go right and your shoes refuse to dance to make the winds of fortune blow right you might need a second chance so if you get one try and that don't fly stop and count to 10 and if at first you don't succeed try again try try try again try try again beginner luck is overrated once you blink it come and gone the only way to cultivate it is to keep on keeping on so before you brag it in the bag double check and then if at first you don't succeed yeah try again try try again yes my friend try try try again scatting don't you ever stop no scatting so if you try that climb one more time you might hit the top now if you find you're batting zero and a legend you are not you can still wind up a hero if you give it one more shot if you don't give in you're gonna win the only question when so if at first you don't succeed try again try try try again try try again and again yeah try again try try try again again and again and again yeah again and again and again yeah try try try again try again,"{'neg': 0.083, 'neu': 0.818, 'pos': 0.1, 'compound': 0.7219}",0.7219,0.083,0.1,0.818,1
6,Aladdin,Friend Like Me,well ali baba had them forty thieves scheherazade had a thousand tales but master you're in luck 'cause up your sleeves you got a brand of magic never fails you got some power in your corner now some heavy ammunition in your camp you got some punch pizazz yahoo and how see all you gotta do is rub that lamp and i'll say mr aladdin sir what will your pleasure be let me take your order jot it down you ain't never had a friend like me life is your restaurant and i'm your maitre d' come on whisper what it is you want you ain't never had a friend like me yes sir we pride ourselves on service you're the boss the king the shah say what you wish it yours true dish how about a little more baklava have some of column a try all of column b i'm in the mood to help you dude you ain't never had a friend like me can your friends do this can your friends do that can your friends pull this out their little hat can your friends go poof hey looky here can your friends go abracadabra let her rip and then make the sucker disappear so don't you sit there slack-jawed buggy-eyed i'm here to answer all your midnight prayers you got me bona fide certified you got a genie for your charge d'affaires i got a powerful urge to help you out so what your wish i really wanna know you got a list that three miles long no doubt well all you gotta do is rub like so mr aladdin sir have a wish or two or three i'm on the job you big nabob you ain't never had a friend never had a friend you ain't never had a friend never had a friend you ain't never had a friend like me you ain't never had a friend like me,"{'neg': 0.08, 'neu': 0.677, 'pos': 0.244, 'compound': 0.9965}",0.9965,0.08,0.244,0.677,1
7,Aladdin,Arabian Nights,oh i come from a land from a faraway place where the caravan camels roam where it flat and immense and the heat is intense it barbaric but hey it home when the wind from the east and the sun from the west and the sand in the glass is right come on down stop on by hop a carpet and fly to another arabian night arabian nights like arabian days more often than not are hotter than hot in a lot of good ways arabian nights 'neath arabian moons a fool off his guard could fall and fall hard out there on the dunes,"{'neg': 0.075, 'neu': 0.838, 'pos': 0.087, 'compound': 0.0772}",0.0772,0.075,0.087,0.838,1
8,Aladdin,A Whole New World,i can show you the world shining shimmering splendid tell me princess now when did you last let your heart decide i can open your eyes take you wonder by wonder over sideways and under on a magic carpet ride a whole new world a new fantastic point of view no one to tell us no or where to go or say we're only dreaming a whole new world a dazzling place i never knew but now from way up here it crystal clear that now i'm in a whole new world with you now i'm in a whole new world with you unbelievable sights indescribable feeling soaring tumbling freewheeling through an endless diamond sky a whole new world don't you dare close your eyes a hundred thousand things to see hold your breath it gets better i'm like a shooting star i've come so far i can't go back to where i used to be a whole new world every turn a surprise with new horizons to pursue every moment red-letter i'll chase them anywhere there time to spare let me share this whole new world with you a whole new world a whole new world that where we'll be that where we'll be a thrilling chase a wondrous place for you and me,"{'neg': 0.015, 'neu': 0.836, 'pos': 0.149, 'compound': 0.9799}",0.9799,0.015,0.149,0.836,1
9,Aladdin,A Whole New World (Single),i can show you the world shining shimmering splendid tell me princess now when did you last let your heart decide i can open your eyes take you wonder by wonder over sideways and under on a magic carpet ride a whole new world a new fantastic point of view no one to tell us no or where to go or say we're only dreaming a whole new world a dazzling place i never knew but now from way up here it crystal clear that now i'm in a whole new world with you unbelievable sights indescribable feeling soaring tumbling freewheeling through an endless diamond sky a whole new world don't you dare close your eyes a hundred thousand things to see hold your breath it gets better i'm like a shooting star i've come so far i can't go back to where i used to be a whole new world with new horizons to pursue i'll chase them anywhere there time to spare let me share this whole new world with you a whole new world a whole new world a new fantastic point of view no one to tell us no or where to go or say we're only dreaming a whole new world every turn a surprise with new horizons to pursue every moment red-letter i'll chase them anywhere there time to spare anywhere there time to spare let me share this whole new world with you you a whole new world a whole new world that where we'll be where we will be a thrilling chase a wondrous place for you and me,"{'neg': 0.032, 'neu': 0.822, 'pos': 0.146, 'compound': 0.9836}",0.9836,0.032,0.146,0.822,1
